branch_code,branch,sap_id,name,address,phone,latitude,longitude,zipcode
3168,UNIT BISNIS AMBON,CP01,KF Urimesing Ambon,Jl. Diponegoro no.66 Ahusen Si,082197621522,-3.700658,128.182242,97127
3168,UNIT BISNIS AMBON,CP02,KF Passo,"Jl. Wolter Mongonsidi, Passo,  Telu",082197606584,-3.633571,128.249721,97232
3102,UNIT BISNIS BALIKPAPAN,AB01,KF.0056,Jl. Jend. Achmad Yani No. 95 Gunung Sari,08115961954,-1.2635322,116.8360475,76121
3102,UNIT BISNIS BALIKPAPAN,AB02,KF.0068,Jl. Jend. Sudirman No. 2-3 Klandasan,081110678429,-1.276981,116.831976,76112
3102,UNIT BISNIS BALIKPAPAN,AB03,KF.0136,Jl.MT. HARYONO RT.24,081110678431,-1.267408,116.857572,76114
3102,UNIT BISNIS BALIKPAPAN,AB04,KF.0158 Markoni,Jl. Jend. Sudirman RT 51 No. 33 Markoni,081110678423,-1.27518,116.847881,76113
3102,UNIT BISNIS BALIKPAPAN,AB05,KF.0270,"Jl. Sukarno Hatta KM 2,5 No. 2",08115961921,-1.227222,116.840836,76125
3102,UNIT BISNIS BALIKPAPAN,AB06,KF.0293,Jl. Jend. A. Yani No. 23-Karang Rejo,08115962032,-1.246392,116.8326643,76124
3102,UNIT BISNIS BALIKPAPAN,AB07,KF.0329,Jl. Soekarno Hatta KM 5 No. 86,08115961987,-1.213002,116.85836,76129
3102,UNIT BISNIS BALIKPAPAN,AB08,KF.0349,Jl. Komplek Balikpapan Baru Blok C 7-8,08115962749,-1.238986,116.871103,76114
3102,UNIT BISNIS BALIKPAPAN,AB09,KF.0379 Pasar Baru,Jl. Jend Sudirman No.20A Pasar Baru,08115962062,-1.276723,116.839731,76113
3102,UNIT BISNIS BALIKPAPAN,AB10,KF.0426 Guntur,Jl. DI Panjaitan No. 2 Gunung Guntur,08115962059,-1.254035,116.843944,76122
3102,UNIT BISNIS BALIKPAPAN,AB11,KF.0425 Sepinggan,Jl. M.R Iswahyudi No.702 Sepinggan,081110678369,-1.257821,116.9077688,76115
3102,UNIT BISNIS BALIKPAPAN,AB12,KF.0434 Bahagia,Jl. Ruhui Rahayu Blok 1 NO.1 Gunung Bahagia,081110678436,-1.2419798,116.8811381,76114
3102,UNIT BISNIS BALIKPAPAN,AB13,KF.0435 Manggar,Jl. Mulawarman No.44 Manggar,081110678427,-1.2262546,116.961736,76116
3102,UNIT BISNIS BALIKPAPAN,AB14,KF.Bejo KF Bejo,Jl. Di Panjaitan No.21 Sumberejo,08115962455,-1.241396,116.846732,76124
3102,UNIT BISNIS BALIKPAPAN,AB15,KF.Ewalk,"Jl. Jend Sudirman RT.25 No.217, kelurahan gn bahagia. Kecamatan Balikpapan Selatan",081110678428,-1.27426,116.87041,76114
3102,UNIT BISNIS BALIKPAPAN,AB16,KF.Gumilang,"Jl. Mayjen Sutoyono. 92, Gunung Malang",08115961933,-1.273375,116.84607,76113
3102,UNIT BISNIS BALIKPAPAN,AB17,KF.Indrakila,Jl. Indrakila III Rt.35 Indrakila,08115961918,-1.237041,116.856624,23767
3102,UNIT BISNIS BALIKPAPAN,AB18,KF.Petung,Jl. Propinsi Km 17 Petung Penajam Paser Utara,08115962744,-1.351355,116.670177,68154
3102,UNIT BISNIS BALIKPAPAN,AB19,KF.Tarakan,Jl. Mulawarman Rt.43 Kel. Karang Anyar-Tarakan,081110678426,3.313516,117.580724,68132
3102,UNIT BISNIS BALIKPAPAN,AB20,KF.Grogot,Jl. Pengeran Hidayat Tana Grogot,081110678447,-1.908731,116.19338,76251
3102,UNIT BISNIS BALIKPAPAN,AB21,KF Bon Say,Jl. Letjen Suprapto No.25 Kebon Sayur,081110678430,-1.234435,116.82098,76131
3102,UNIT BISNIS BALIKPAPAN,AB22,KF Beurau,"Jl. Mangga II No. 2 Tanjung Redeb, Berau",081110678433,2.14993,117.497564,77315
3102,UNIT BISNIS BALIKPAPAN,AB23,KF Regency,Jl. Syarifuddin Yoes No. 3 Gunung Bahagia,081110678450,-1.232961,116.8860153,76114
3102,UNIT BISNIS BALIKPAPAN,AB24,KF KM 8,"jl. soekarnohatta km 8 no 235, batu ampar",08115962023,-1.20011,116.883842,76129
3102,UNIT BISNIS BALIKPAPAN,AB25,KF Ruhui,Jl. Ruhui Rahayu,08115962464,-1.250034,116.899985,76115
3102,UNIT BISNIS BALIKPAPAN,AB26,KF Batakan,Jl.  Marsma Iswahyudi Batakan,08115962747,-1.256776,116.92303,76115
3102,UNIT BISNIS BALIKPAPAN,AB27,KF Babulu,Jl.  Propinsi KM-48,08115962497,-1.500362,116.460838,76285
3102,UNIT BISNIS BALIKPAPAN,AB29,KF. Berau II,Jl. Durian III Tanjung Redab-Berau,08115962449,2.147406,117.486103,77311
3102,UNIT BISNIS BALIKPAPAN,AB30,KF. Sengkawit,Jl. Sengkawit Tanjung Selor Bulungan,08115962451,2.854991,117.369067,71252
3102,UNIT BISNIS BALIKPAPAN,AB31,KF. Juwata,Jl. Aki Balak-Juwata Tarakan,08115962493,3.337218,117.573388,77111
3102,UNIT BISNIS BALIKPAPAN,AB32,KF. Kusumah Bangsa,"Jl. Kusuma Bangsa, Pamusian",08115962496,3.303095,117.60757,77113
3102,UNIT BISNIS BALIKPAPAN,AB33,KF. PRAPATAN,Jl. Prapatan no 33 Balikpapan,08115995892,-1.2741816,116.820911,76111
